variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK-noH,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.9999999982361616,1.763838408663787e-09
RANDW,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.961937953767075,0.03806204623292497
INTSEQ,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9789918854392615,0.021008114560738478
CO,1500.0,7.0,801,20000,1.0,0.1,gauss,0.9322213149524605,0.06777868504753948
PK-phaseJ,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.9849192356932555,0.015080764306744543
PK,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.9840528936772764,0.01594710632272356
PK-oddK,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.9840714654789724,0.015928534521027604
PK-noH,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.9999999999991283,8.717471189356729e-13
RANDW,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.9570997176556804,0.04290028234431964
PK-scramble,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.9840528936772764,0.01594710632272356
PK-phaseJ,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.9842482537543257,0.015751746245674325
CO,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.9324109419687256,0.06758905803127435
INTSEQ,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.8123165920823583,0.1876834079176417
CO,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.9322213210425385,0.06777867895746148
INTSEQ,1500.0,7.0,1201,20000,1.0,0.1,gauss,0.8206070249090515,0.17939297509094854
