status,error,t,Delta,N,h,Pmax,alpha,beta,lam,kernel,weight_mode,det,dev,nprimes,t_sieve,t_total
ok,,2997.0,7.0,4099,0.003416300634455832,60000,1.0,1.0,0.05,fejer,logp_over_p,0.9979367235815558,0.002063276418444171,6057,0.00019109999993816018,0.7716103999991901
ok,,2997.0,7.0,4099,0.003416300634455832,60000,1.0,1.0,0.05,gauss,logp_over_p,0.9978924063316593,0.0021075936683406793,6057,0.0003095999709330499,0.8088647999684326
ok,,2997.0,7.0,4099,0.003416300634455832,60000,1.0,1.0,0.1,fejer,logp_over_p,0.9959428073410866,0.0040571926589133556,6057,0.00016080000204965472,0.8019060000078753
ok,,2997.0,7.0,4099,0.003416300634455832,60000,1.0,1.0,0.1,gauss,logp_over_p,0.9957869226692896,0.004213077330710413,6057,0.00019619998056441545,0.8050430999719538
ok,,2997.0,7.0,4099,0.003416300634455832,60000,1.0,1.0,0.2,fejer,logp_over_p,0.9921613265832668,0.007838673416733166,6057,0.0001908999984152615,0.7912165999878198
ok,,2997.0,7.0,4099,0.003416300634455832,60000,1.0,1.0,0.2,gauss,logp_over_p,0.9915822740101283,0.008417725989871672,6057,0.00029170000925660133,0.7685785999638028
