variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
INTSEQ,3000.0,7.0,1201,60000,1.0,0.1,gauss,0.956276381330491,0.04372361866950902
PK-oddK,3000.0,7.0,2049,60000,1.0,0.1,gauss,0.9848279578419555,0.015172042158044463
PK-noH,3000.0,7.0,2049,60000,1.0,0.1,gauss,0.9999999998169726,1.8302737103681466e-10
PK,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9988193092027875,0.0011806907972125025
PK-scramble,3000.0,7.0,2049,60000,1.0,0.1,gauss,0.9847773563940219,0.015222643605978137
RANDW,3000.0,7.0,2049,60000,1.0,0.1,gauss,0.9520560483905289,0.04794395160947107
PK-noH,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9999999998046434,1.9535661976988195e-10
PK-oddK,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9987655554060059,0.0012344445939941329
PK-phaseJ,3000.0,7.0,2049,60000,1.0,0.1,gauss,0.9847938449569972,0.015206155043002823
PK-scramble,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9988193092027875,0.0011806907972125025
PK-phaseJ,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9988169205884251,0.0011830794115749166
RANDW,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9828658649717199,0.017134135028280095
PK,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.998755137576338,0.001244862423661952
PK-oddK,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.9987655554060059,0.0012344445939941329
PK-noH,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.9999999998724496,1.2755041467471528e-10
PK-scramble,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.998755137576338,0.001244862423661952
PK-phaseJ,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.9987533115110815,0.0012466884889185126
RANDW,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.9824618424118622,0.017538157588137815
CO,3000.0,7.0,2049,60000,1.0,0.1,fejer,0.9885137491939883,0.011486250806011733
CO,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9995262683309172,0.00047373166908282194
INTSEQ,5000.0,5.0,1201,60000,1.0,0.1,fejer,0.9975936244294624,0.0024063755705375778
PK,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9988197752802539,0.0011802247197461035
PK-oddK,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9987655443097747,0.001234455690225289
INTSEQ,3000.0,7.0,2049,60000,1.0,0.1,fejer,0.9567543492929165,0.04324565070708353
CO,3000.0,7.0,2049,60000,1.0,0.1,gauss,0.9883740733775144,0.011625926622485627
PK-noH,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9999999999403166,5.968336935779917e-11
PK-scramble,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9988197752802539,0.0011802247197461035
CO,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.9995101015775786,0.0004898984224214198
INTSEQ,3000.0,7.0,2049,60000,1.0,0.1,gauss,0.9562763674621403,0.043723632537859713
RANDW,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9828555722666933,0.01714442773330671
PK-phaseJ,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9988228691667705,0.001177130833229456
PK,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9987551838410351,0.0012448161589648787
INTSEQ,5000.0,5.0,1201,60000,1.0,0.1,gauss,0.9975589261706188,0.0024410738293811907
PK-oddK,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9987655443097747,0.001234455690225289
PK-noH,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9999999999561617,4.383826635034893e-11
PK-scramble,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9987551838410351,0.0012448161589648787
